Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Metales no ferrosos,1.28,0.1,0.1,24.09,0.16,0.33,0.39,2.5,3.51,0.0,4.69,0.89,1.84,0.09,2.5,0.07,18.13,18.19,0.86,10.48,4.3,9.97,599.43,23.17,15.25,0.04,118.26,0.22,0.31,0.15,0,0.12,45.72,0.33,2.65,0.62,0.12,1.9,0.83,5.96,919.55,4702.434617614101,39.35684277231138,-19.631936926188395,-113.24780653546804,5528.461716924756
Productos fabricados de metal (excepto maquinarias y equipos),12.22,11.57,40.99,130.38,1.06,7.52,1.23,56.34,4.55,0.0,12.37,6.38,2.51,10.09,4.21,10.12,0.96,15.38,0.42,3.68,11.61,8.29,10.3,63.13,0.92,0.97,49.83,0.28,0.56,11.43,0,12.35,35.81,11.1,260.81,5.26,4.7,3.41,11.72,69.99,904.4500000000002,64.66841661023777,73.75566701733213,295.61426379426354,8.050317794227112,1346.5386652160605
Maquinarias y equipos (excluye maquinaria eléctrica),0.11,1.04,1.38,3.74,0.09,0.65,0.09,4.91,0.12,0.0,1.13,0.58,0.23,0.46,0.1,0.16,0.08,0.34,0.04,0.08,0.85,0.29,1.22,1.71,0.06,0.02,2.81,0.01,0.03,0.14,0,0.16,0.97,0.93,3.37,0.08,0.24,0.29,0.3,2.36,31.169999999999998,10.04264798379793,2.8003185743324894,5.8436400001566415,-4.528775451714523,45.32783110657253
Equipos de oficina (incluye equipo computacional),0.01,0.01,0.36,0.1,0.0,0.01,0.0,0.02,0.02,0.0,0.02,0.02,0.01,0.01,0.48,0.0,0.01,0.25,0.0,0.07,0.02,0.01,0.01,0.02,0.0,1.98,0.02,0.69,2.15,0.01,0,0.01,0.12,0.03,0.36,0.25,0.85,0.2,3.12,5.05,16.3,30.38388626478428,5.954242123378796,-16.20589377928316,2.9085973643676653,39.34083197324758
Maquinarias y aparatos eléctricos,1.46,13.75,17.65,48.41,1.13,7.72,1.06,58.33,1.29,0.0,13.5,6.95,2.68,5.75,1.37,1.96,0.83,4.73,0.44,4.54,10.5,3.39,10.68,19.0,0.9,0.46,35.27,0.25,0.56,2.96,0,2.86,10.91,16.58,72.36,3.81,17.91,3.5,4.4,38.42,448.27000000000004,53.69961977852151,65.51909697077299,159.2362863087141,21.952097260409346,748.6771003184181
"Radio, televisión y equipos de telecomunicaciones",0.01,0.01,0.01,0.3,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.04,0.01,0.0,0.0,0.01,0.0,0.25,0.36,0.23,0.71,0.01,0,0.0,0.02,0.02,0.75,0.02,0.82,0.2,0.66,0.94,5.4399999999999995,4.1091244362207275,2.368215019391931,2.015627175313728,-0.11316426639232802,13.819802364534057
Equipo médico e instrumentos ópticos y de precisión,1.18,0.95,0.55,0.15,0.0,0.01,0.0,0.03,0.25,0.0,0.03,0.02,0.01,0.01,0.95,0.11,0.01,0.03,0.0,0.08,0.04,0.01,0.01,0.25,0.18,0.25,1.44,0.23,0.72,0.02,0,0.01,0.67,0.05,2.28,0.04,0.38,0.01,2.45,18.78,32.19,4.047265919180528,2.948511485613986,1.812865719070083,0.23480694328992513,41.233450067154514
"Vehículos de motor, remolques y semirremolques",1.52,0.88,0.35,2.48,0.06,0.18,0.22,1.17,0.06,0.0,0.3,0.21,0.06,0.14,0.07,0.05,0.03,0.12,0.03,0.12,0.62,0.1,0.12,0.3,0.01,0.01,0.91,0.01,0.01,1.39,0,0.56,0.21,0.34,1.74,34.68,0.66,0.1,1.21,23.22,74.25,7.049407951134862,16.31885032591781,72.23652523754089,-1.0943065088727053,168.76047700572087
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008441892077371449,0.0,0.0,-0.008441892077371449,0.0
Otro equipo de transporte,0.1,30.73,0.32,1.04,0.06,0.18,0.03,6.54,0.05,0.0,0.29,0.21,0.06,0.42,0.07,0.05,0.03,0.12,0.03,0.12,0.22,0.09,0.11,1.36,0.01,0.01,1.1,0.01,0.01,0.05,0,8.17,0.19,0.33,3.85,41.61,0.43,0.29,0.88,5.18,104.35,2.7642839969256188,20.865176336081888,49.37993566905478,0.8871638140486198,178.2465598161109
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),3.37,6.38,11.27,15.5,0.05,0.13,0.04,3.19,0.77,0.0,2.93,15.82,2.75,1.06,5.51,0.13,5.82,3.38,0.35,0.14,1.48,0.29,1.63,0.11,0.18,0.0,0.65,0.0,0.01,0.02,0,0.02,536.53,2.38,23.67,1.38,4.11,17.25,19.91,175.15,863.3599999999999,1334.3142956197855,615.292218949864,228.2577049524921,91.5850835639385,3132.80930308608
