Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Productos minerales no metálicos,0.21086765303600524,0.0,0,0.18929518826539324,0.0,0.0,0.13316195015080717,0.0,0.5649254404837345,0.37505033403163085,0.006216223442567776,0.002499031238906992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.943198465740354,0.0,0.0,0.00474248076370638,0.07913132198210321,0.0006808009475938815,0.0010689431439529656,0.0015399720304829713,0,0,0,0.015426386584903171,2.1757699320052777,3.500775373850052,126.34394483327618,0.0,0.0,0.0,0.0,1.2445967702481389,142.79289110122178,3.219788859672342,19.74455771226012,10.416549507920317,-6.164001286701421,170.00978589437315
Hierro y acero,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255418149847493,4.854027723159178,1.1328730804950642,0.19101357374413988,10.16920279222005,0.02803270877473725,0.043678871811799906,0.06323657560812823,0,0,0,1.1785946572583619,4.513546756198674,0.0,52.611048315740184,0.0,0.0,0.0,0.8380226778066108,0.0,77.44881954780168,27.08775957967751,0.0,83.28324329753359,-3.4753884283680634,184.3444339966447
Metales no ferrosos,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028379794427499,0.5461108058670513,0.12501323215378843,0.021223730416015538,1.1279187862531537,0.0031147454194152516,0.0048532079790888786,0.007026286178680913,0,0,0,0.12987728845826949,1.003010390266372,0.0,5.010576030070493,0.0,0.0,0.0,0.1862100312292747,0.0,8.367772513734353,4.753315372211239,0.0,9.491358970496567,-2.128329440755259,20.4841174156869
Productos fabricados de metal (excepto maquinarias y equipos),0.05134502013974572,0.028587042536897894,0,0.0026258592424816167,1.0259208704141995,0.0,0.007749206228240035,0.1261143065529696,0.18201269370154247,0.12083704623446856,0.009886460447415583,0.022010697711814256,0.11422529803822255,0.07225344759366119,0.08824566813023738,0.004606168623853248,0.008409223802609894,0.0028417427650079866,0.020418420807899115,0.010000859171215893,0.14817614077092067,0.011891456448727956,0.0013149574630327355,0.0498039643103041,2.5030981932774554,0.007309114216187979,0.011388619825223127,0.016488001836517063,0,0,0,0.21709215885357855,0.8329634918195086,0.0816629190441306,0.0,0.037399574631578794,0.8217946056582859,0.0006830361278565356,0.005856587079469039,0.4855230983360815,7.13053595184134,11.284829874194926,14.588491059803555,37.11516908227273,20.24023208650968,90.35925805462223
Maquinarias y equipos (excluye maquinaria eléctrica),0.21145334861928067,0.07317502355861233,0,0.16790237480942663,2.626077313346927,0.0,1.8756340159657439,2.7450448771638354,3.1027359712561564,2.0598862770901945,1.0578289344018346,0.28246683663048505,0.2923855751831635,2.0965562654891534,1.6042582103901246,0.05361655239109377,0.047110721824659064,0.04197137035287806,0.15544951982547442,0.07613854032268136,0.379630831478243,0.03053080663239081,0.0033923118480434235,2.822071038513218,4.079070508180944,0.09354668365428297,0.14575878615899904,0.21102391428989423,0,0,0,1.631628203272378,2.1321591087530076,1.0451738785511597,0.0,2.3816895882446025,2.103572982422683,0.0017626840865067224,0.06589528242005331,2.962848347520683,38.65944668464881,444.8818589552017,186.71276953673492,527.6251740591315,-36.14713179540399,1161.732117440313
Equipos de oficina (incluye equipo computacional),0.004849330128335502,0.004195368017360443,0,0.0018916582062751537,0.1505617659652238,0.0,0.01872386622367777,0.01850824294122079,0.029467562258908165,0.019563323363235206,0.007908515960241138,0.003230238913337929,0.016763439643834706,0.010603748281663586,0.01295072945256042,0.00036160834400251546,0.0005402029435894241,0.00048127171337966835,0.0017824878273321068,0.0008730552623667456,0.004353100200950521,0.0003500865827180813,3.8898509190897935e-05,0.01523702688314163,0.4523023430071021,0.0012978119236715922,0.0021617418007238718,0.0029996582379614085,0,0,0,0.0093546683654283,0.12224378890183912,0.011984660474053296,0.0,0.005488674775282898,0.024120970198446768,2.0212110858610417e-05,0.0037133174373355036,0.07125424310051705,1.030177617955767,4.896193755318026,2.1409730906878934,5.4632193665729165,-0.2713842719197377,13.259179558614864
Maquinarias y aparatos eléctricos,0.0075559329906622905,0.006536968771236037,0,0.0029474674376845423,0.23459623999232554,0.0,0.029174396208986295,0.028838425047948667,0.04591457375225227,0.030482387565971145,0.012322571379910607,0.005033162957991659,0.026119778049695938,0.016522119415615356,0.020179043565617404,0.0005634362569341522,0.0008417115632672424,0.0007498884836380878,0.002777364754215143,0.001360341920431906,0.006782737522411277,0.0005454837451653827,6.060930501837586e-05,0.023741413980709048,0.14575878615899904,0.002022172067116203,0.0033682953639185935,0.004673886091707312,0,0,0,0.014575878615899904,0.019047288038193545,0.018673773296780726,0.0,0.00427606058074365,0.01879191864297598,3.149328901225343e-05,0.005785866704685553,0.11102405320313125,0.8516755267208526,10.453130326358401,3.3359348157229975,9.265943030568028,-3.244835668494769,20.66184803087551
"Radio, televisión y equipos de telecomunicaciones",0.01093918656857078,0.00946396971358053,0,0.004267228976946277,0.33963933252620254,0.0,0.04223755869062196,0.041751152681358525,0.06647333811893238,0.04413121781939107,0.017840140654497447,0.007286818013808815,0.03781520105702248,0.02392008333305507,0.02921443620693864,0.0008157211480986981,0.0012185973378645149,0.001085659446461113,0.004020960912818937,0.0019694502430133575,0.009819784174237222,0.0007897301982245088,8.774779980272321e-05,0.034371897852668316,1.020309936550905,0.0029276222464219687,0.004876487317911996,0.006766670908889692,0,0,0,0.18915546423352944,0.2757592447320557,0.027035164325189983,0.0,0.05827528345630376,0.2546581112268571,4.5594761704307224e-05,0.008376553288873113,0.16073631583139897,2.7380816623541566,13.103418298523986,4.829636972016876,11.909813860884963,-2.6695552884538607,29.911395505326116
Equipo médico e instrumentos ópticos y de precisión,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006241574580306091,0.0,0.0,-0.006241574580306091,0.0
"Vehículos de motor, remolques y semirremolques",0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04341672176750738,0.0,0.0,-0.04341672176750738,0.0
